"# XXZ_Global_Metrics: Eg=-6.026725, Sg=0.762250, Alpha=0.89266, C=0.05427, R2=0.95902"
"# TFIM_Global_Metrics: Eg=-4.367751, Sg=0.411019, Alpha=1.73454, C=0.00547, R2=0.96866"
Eigenvalue_Index_i,XXZ_ECS_Data,XXZ_Tail_Fitted_ECS,TFIM_ECS_Data,TFIM_Tail_Fitted_ECS
1,0.34829253871717675,,0.12850377187229864,
2,0.3482925387171794,,0.27246130523097056,
3,0.025275199503978395,0.020849435370162105,0.008323916330843718,0.0003130991712042633
4,0.025275199503978305,0.0099023810995215,0.001689215655516461,6.446142105644472e-05
5,0.0037532051047201747,0.0046139786387105934,3.473709234481582e-05,1.3000797826187932e-05
6,0.0037532051047201582,0.0021183876466911366,6.322933015997823e-06,2.5811033013906234e-06
7,0.003753205104720103,0.0009612697027501214,7.578301727920696e-08,5.061147681827094e-07
8,0.003753205104720033,0.00043205899572587315,3.216035559052726e-08,9.824946845448966e-08
9,3.9655339457616956e-05,0.00019266570179058722,1.320993008116101e-08,1.891511868123735e-08
10,3.965533945761684e-05,8.534315260049928e-05,5.584299746155875e-09,3.6162866733049087e-09
11,5.340551751526797e-06,3.7588711238744806e-05,6.145472046408954e-11,6.872904159627096e-10
12,5.340551751526741e-06,1.647427944772089e-05,1.0454429251318551e-11,1.2995623727972452e-10
13,5.340551751526665e-06,7.189313556684627e-06,6.4414878158503155e-12,2.4463588948373715e-11
14,5.340551751526638e-06,3.125528727909803e-06,1.090155742915913e-12,4.5871612435530584e-12
15,5.614230776995207e-07,1.354253572822804e-06,1.6443529288837145e-13,8.571621161048413e-13
16,5.614230776994535e-07,5.850225392103092e-07,2.7638982371804338e-14,1.596760747565909e-13
17,3.925656066222624e-08,2.5204225386879115e-07,1.13937393255153e-14,2.966281555252765e-14
18,3.925656066220778e-08,1.0832163340590085e-07,1.9073078654042547e-15,5.496650129957421e-15
19,3.9256560662189974e-08,4.645104592134148e-08,2.8471799695409877e-16,1.016244386413434e-15
20,3.9256560662174363e-08,1.9879193815065495e-08,2.0581377025207986e-16,1.8749954402404567e-16
21,1.2324369556414487e-08,8.491782409293772e-09,4.7437521111690043e-17,3.4528738903518775e-17
22,1.2324369556393303e-08,3.6212679411128278e-09,3.427834638373335e-17,6.347559053233682e-18
23,2.222164728691958e-09,1.5418478131055871e-09,2.9074270207028254e-17,1.1650310669507487e-18
24,2.222164728690644e-09,6.555296037549452e-10,4.8320739529275014e-18,2.1351356616057343e-19
25,1.6070534376645643e-09,,3.461689010543912e-19,
26,1.6070534376644096e-09,,5.729551208391831e-20,
27,1.607053437663037e-09,,4.857038407636069e-20,
28,1.6070534376557507e-09,,2.0061358917264463e-20,
29,3.9881816338137625e-10,,8.02631113736642e-21,
30,3.988181633802573e-10,,3.312939701115648e-21,
31,3.9881816337907555e-10,,8.535486700238877e-22,
32,3.988181633789006e-10,,4.451980919924829e-22,
33,3.9881816337779994e-10,,1.4064526909374867e-22,
34,3.988181633761674e-10,,7.333240547008499e-23,
35,2.773943651483454e-10,,3.282855130838952e-23,
36,2.773943651476534e-10,,5.3985115437790834e-24,
37,2.773943651468719e-10,,1.3866811243091352e-24,
38,2.7739436514619457e-10,,7.22007792655488e-25,
39,2.7250180813931063e-11,,5.71012234078948e-25,
40,2.725018081381528e-11,,2.2762262637696593e-25,
41,1.9426870966682655e-12,,1.1852083513728852e-25,
42,1.9426870966451816e-12,,9.370388342195028e-26,
43,1.9426870966384026e-12,,7.936746930530228e-26,
44,1.942687096637942e-12,,1.30103886500374e-26,
45,5.907338914746015e-13,,1.7508778266898257e-27,
46,5.907338912871563e-13,,9.201486978391107e-28,
47,7.572809898760753e-14,,2.6521801135241822e-28,
48,7.57280989576988e-14,,1.505648096835734e-28,
49,7.572809894966542e-14,,1.1024904393470084e-28,
50,7.57280988529369e-14,,8.616599732100405e-29,
51,2.5168168840774617e-14,,0.0,
52,2.516816880284004e-14,,0.0,
53,1.8530185261606527e-14,,0.0,
54,1.853018525888516e-14,,0.0,
55,1.853018524797058e-14,,0.0,
56,1.853018524714225e-14,,0.0,
57,1.8530185245332147e-14,,0.0,
58,1.8530185242926042e-14,,0.0,
59,1.1569516721734065e-15,,0.0,
60,1.1569516677833067e-15,,0.0,
61,1.156951665670814e-15,,0.0,
62,1.1569516641691974e-15,,0.0,
63,4.410066120095586e-16,,0.0,
64,4.4100661171448136e-16,,0.0,
65,2.0698140335452402e-16,,0.0,
66,2.0698140055869142e-16,,0.0,
67,5.02961898291192e-17,,0.0,
68,5.0296189315510774e-17,,0.0,
69,5.029618895530274e-17,,0.0,
70,5.029618875160375e-17,,0.0,
71,3.042552881115814e-17,,0.0,
72,3.0425528303667677e-17,,0.0,
73,3.042552810650558e-17,,0.0,
74,3.042552772574748e-17,,0.0,
75,1.1632179295572054e-17,,0.0,
76,1.1632178640077023e-17,,0.0,
77,1.1632178254335827e-17,,0.0,
78,1.1632178237393342e-17,,0.0,
79,1.1632177961795612e-17,,0.0,
80,1.1632177906549464e-17,,0.0,
81,1.8833662759315434e-18,,0.0,
82,1.8833662720043045e-18,,0.0,
83,2.263995004459081e-19,,0.0,
84,2.263994989451456e-19,,0.0,
85,2.2639948945263066e-19,,0.0,
86,2.263993546095435e-19,,0.0,
87,1.4169646859110633e-19,,0.0,
88,1.4169642457605232e-19,,0.0,
89,1.41696423540193e-19,,0.0,
90,1.416962315883906e-19,,0.0,
91,5.547065564428526e-20,,0.0,
92,5.547064936571267e-20,,0.0,
93,4.8320169820134566e-20,,0.0,
94,4.8319047306334517e-20,,0.0,
95,4.831904131723189e-20,,0.0,
96,4.8319034285362874e-20,,0.0,
97,4.831902965117956e-20,,0.0,
98,4.831803096625953e-20,,0.0,
99,4.7782299569503646e-21,,0.0,
100,4.7781910139015414e-21,,0.0,
101,4.778187019935229e-21,,0.0,
102,4.778184876707006e-21,,0.0,
103,2.210834667037867e-21,,0.0,
104,2.2108257249388377e-21,,0.0,
105,9.840619387287761e-22,,0.0,
106,9.84060479485161e-22,,0.0,
107,9.840591320471834e-22,,0.0,
108,9.840587083899071e-22,,0.0,
109,9.840585744215932e-22,,0.0,
110,9.840478231952388e-22,,0.0,
111,3.31424487962502e-22,,0.0,
112,3.31420336978587e-22,,0.0,
113,3.314184335928023e-22,,0.0,
114,3.3140468131365903e-22,,0.0,
115,8.580495829437933e-23,,0.0,
116,8.580448137940576e-23,,0.0,
117,8.580426717677574e-23,,0.0,
118,8.580390963761534e-23,,0.0,
119,8.580384763267574e-23,,0.0,
120,8.58033422481014e-23,,0.0,
121,3.0600348811793785e-23,,0.0,
122,3.0598450512192407e-23,,0.0,
123,3.0595420625292485e-23,,0.0,
124,3.0595384998501084e-23,,0.0,
125,3.0595332603060446e-23,,0.0,
126,3.059508011151101e-23,,0.0,
127,3.0595045969836525e-23,,0.0,
128,3.05921993419784e-23,,0.0,
